,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,Appliances
0,30.0,19.89,47.5966666666667,19.2,44.79,19.79,44.73,19.0,45.5666666666667,17.1666666666667,55.2,7.026666666666671,84.2566666666667,17.2,41.6266666666667,18.2,48.9,17.033333333333303,45.53,6.6,733.5,92.0,7.0,63.0,5.3,13.275433157104999,13.275433157104999,60.0
1,30.0,19.89,46.6933333333333,19.2,44.7225,19.79,44.79,19.0,45.9925,17.1666666666667,55.2,6.8333333333333295,84.0633333333333,17.2,41.56,18.2,48.8633333333333,17.0666666666667,45.56,6.48333333333333,733.6,92.0,6.6666666666666705,59.1666666666667,5.2,18.606194981839508,18.606194981839508,60.0
2,30.0,19.89,46.3,19.2,44.6266666666667,19.79,44.9333333333333,18.926666666666698,45.89,17.1666666666667,55.09,6.56,83.1566666666667,17.2,41.433333333333294,18.2,48.73,17.0,45.5,6.36666666666667,733.7,92.0,6.3333333333333295,55.3333333333333,5.1,28.64266816759482,28.64266816759482,50.0
3,40.0,19.89,46.0666666666667,19.2,44.59,19.79,45.0,18.89,45.7233333333333,17.1666666666667,55.09,6.43333333333333,83.4233333333333,17.1333333333333,41.29,18.1,48.59,17.0,45.4,6.25,733.7999999999998,92.0,6.0,51.5,5.0,45.41038949973881,45.41038949973881,50.0
4,40.0,19.89,46.3333333333333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.366666666666671,84.8933333333333,17.2,41.23,18.1,48.59,17.0,45.4,6.133333333333329,733.9,92.0,5.66666666666667,47.66666666666669,4.9,10.084096551872788,10.084096551872788,60.0
5,40.0,19.89,46.0266666666667,19.2,44.5,19.79,44.9333333333333,18.89,45.73,17.1333333333333,55.03,6.3,85.7666666666667,17.1333333333333,41.26,18.1,48.59,17.0,45.29,6.01666666666667,734.0,92.0,5.3333333333333295,43.8333333333333,4.8,44.91948424838483,44.91948424838483,50.0
6,50.0,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667,6.263333333333329,86.09,17.1333333333333,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7,47.23376343026758,47.23376343026758,60.0
7,50.0,19.856666666666698,45.56,19.2,44.5,19.73,44.9,18.89,45.8633333333333,17.1,54.9,6.19,86.4233333333333,17.1,41.2,18.1,48.59,17.0,45.29,5.91666666666667,734.1666666666669,91.8333333333333,5.16666666666667,40.0,4.68333333333333,33.03988962434232,33.03988962434232,60.0
8,40.0,19.79,45.5975,19.2,44.4333333333333,19.73,44.79,18.89,45.79,17.1666666666667,55.0,6.1233333333333295,87.2266666666667,17.1666666666667,41.4,18.1,48.59,17.0,45.29,5.93333333333333,734.233333333333,91.6666666666667,5.3333333333333295,40.0,4.66666666666667,31.455702194944024,31.455702194944024,60.0
9,40.0,19.856666666666698,46.09,19.23,44.4,19.79,44.8633333333333,18.89,46.0966666666667,17.1,55.0,6.19,87.6266666666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.2999999999998,91.5,5.5,40.0,4.65,3.089313523378223,3.089313523378223,70.0
